id,crewdos,return,title,revenue,budget,year
862,John Lasseter,12.4518011,Toy Story,373554033,30000000,1995
8844,Joe Johnston,4.0430346,Jumanji,262797249,65000000,1995
15602,Howard Deutch,0,Grumpier Old Men,0,0,1995
31357,Forest Whitaker,5.09075975,Waiting to Exhale,81452156,16000000,1995
11862,Charles Shyer,0,Father of the Bride Part II,76578911,0,1995
949,Michael Mann,3.123946967,Heat,187436818,60000000,1995
11860,Sydney Pollack,0,Sabrina,0,58000000,1995
45325,Peter Hewitt,0,Tom and Huck,0,0,1995
9091,Peter Hyams,1.838576314,Sudden Death,64350171,35000000,1995
710,Martin Campbell,6.072310931,GoldenEye,352194034,58000000,1995
9087,Rob Reiner,1.739991871,The American President,107879496,62000000,1995
12110,Mel Brooks,0,Dracula: Dead and Loving It,0,0,1995
21032,Simon Wells,0,Balto,11348324,0,1995
10858,Oliver Stone,0.310949205,Nixon,13681765,44000000,1995
1408,Renny Harlin,0.102217571,Cutthroat Island,10017322,98000000,1995
524,Martin Scorsese,2.232930288,Casino,116112375,52000000,1995
4584,Ang Lee,8.181818182,Sense and Sensibility,135000000,16500000,1995
5,Allison Anders,1.075,Four Rooms,4300000,4000000,1995
5,Alexandre Rockwell,1.075,Four Rooms,4300000,4000000,1995
5,Robert Rodriguez,1.075,Four Rooms,4300000,4000000,1995
5,Quentin Tarantino,1.075,Four Rooms,4300000,4000000,1995
9273,Steve Oedekerk,7.079517767,Ace Ventura: When Nature Calls,212385533,30000000,1995
11517,Joseph Ruben,0.59051855,Money Train,35431113,60000000,1995
8012,Barry Sonnenfeld,3.805012298,Get Shorty,115101622,30250000,1995
1710,Jon Amiel,0,Copycat,0,0,1995
9691,Richard Donner,0.60606144,Assassins,30303072,50000000,1995
12665,Victor Salva,0,Powder,0,0,1995
451,Mike Figgis,13.83333333,Leaving Las Vegas,49800000,3600000,1995
16420,Oliver Parker,0,Othello,0,0,1995
9263,Lesli Linka Glatter,2.283333333,Now and Then,27400000,12000000,1995
17015,Roger Michell,0,Persuasion,0,0,1995
902,JeanPierre Jeunet,0.0965895,The City of Lost Children,1738611,18000000,1995
902,Marc Caro,0.0965895,The City of Lost Children,1738611,18000000,1995
37557,Zhang Yimou,0,Shanghai Triad,0,0,1995
9909,John N Smith,0,Dangerous Minds,180000000,0,1995
63,Terry Gilliam,5.723389831,Twelve Monkeys,168840000,29500000,1995
78802,JeanJacques Annaud,0,Wings of Courage,0,0,1996
9598,Chris Noonan,8.471163667,Babe,254134910,30000000,1995
47018,Christopher Hampton,0,Carrington,0,0,1995
687,Tim Robbins,3.578512273,Dead Man Walking,39363635,11000000,1995
139405,Stephen Low,0,Across the Sea of Time,0,0,1995
33689,Andy Tennant,0,It Takes Two,0,0,1995
9603,Amy Heckerling,0,Clueless,0,12000000,1995
34615,Darrell James Roodt,0,"Cry, the Beloved Country",676525,0,1995
31174,Richard Loncraine,0,Richard III,0,0,1995
11443,Albert Hughes,0,Dead Presidents,0,10000000,1995
11443,Allen Hughes,0,Dead Presidents,0,10000000,1995
35196,Michael Hoffman,0,Restoration,0,19000000,1995
9312,Paul WS Anderson,6.788662222,Mortal Kombat,122195920,18000000,1995
577,Gus Van Sant,1.0642257,To Die For,21284514,20000000,1995
11861,Jocelyn Moorhouse,2.357413,How To Make An American Quilt,23574130,10000000,1995
807,David Fincher,9.918541182,Se7en,327311859,33000000,1995
10530,Mike Gabriel,6.292359509,Pocahontas,346079773,55000000,1995
10530,Eric Goldberg,6.292359509,Pocahontas,346079773,55000000,1995
8391,Patricia Rozema,0,When Night Is Falling,0,0,1995
629,Bryan Singer,3.890261333,The Usual Suspects,23341568,6000000,1995
