,title,vote_average,overview,noverviwe
0,Big Jay Oakerson: Live at Webster Hall,10,From the legendary New York City music venue. the man The New York Times called âa master of the dirty jokeâ dishes on the taboos of growing up with step parents. how to navigate âthe friend zone.â and why nobody should feel uncomfortable about cringe-worthy material at a comedy show.,From the legendary New York City music venue the man The New York Times called âa master of the dirty jokeâ dishes on the taboos of growing up with step parents how to navigate âthe friend zoneâ and why nobody should feel uncomfortable about cringeworthy material at a comedy show
1,The Lion of Thebes,10,Fleeing Troy in the wake of its destruction. fair-faced Helen and her faithful protector Arion run into the pharaoh Ramses. who sets his sights on Helen -- and is subsequently murdered. Now it's up to Arion to save Helen from those who wish her dead.,Fleeing Troy in the wake of its destruction fairfaced Helen and her faithful protector Arion run into the pharaoh Ramses who sets his sights on Helen  and is subsequently murdered Now its up to Arion to save Helen from those who wish her dead
2,Joe Cocker - Mad Dogs & Englishmen,10,MAD DOGS &amp; ENGLISHMAN: A great film and is a statement of Rock History because of the people involved. Joe Cocker asked Leon to get some mates together as this tour was to get off the ground right away. For the most part Leon just pulled Delaney &amp; Bonnie's Band right out from under them. Jim Gordon. (who co-wrote LAYLA) Carl Radle and of course sometimes Leon. All were with Delaney and Bonnie. I might add at this time that Claudia Linnear who solo's on Let It Be is the girl who Mick Jagger wrote Brown Sugar about. If you listen to the sound of Delaney &amp; Bonnie's albums you will here the Mad Dogs sound. Donna Wiess is a great writer of music and has worked with Rita Coolidge off and on over the years.,MAD DOGS amp ENGLISHMAN A great film and is a statement of Rock History because of the people involved Joe Cocker asked Leon to get some mates together as this tour was to get off the ground right away For the most part Leon just pulled Delaney amp Bonnies Band right out from under them Jim Gordon who cowrote LAYLA Carl Radle and of course sometimes Leon All were with Delaney and Bonnie I might add at this time that Claudia Linnear who solos on Let It Be is the girl who Mick Jagger wrote Brown Sugar about If you listen to the sound of Delaney amp Bonnies albums you will here the Mad Dogs sound Donna Wiess is a great writer of music and has worked with Rita Coolidge off and on over the years
3,Let No Man Write My Epitaph,10,"In this sequel to ""Knock On Any Door"". the residents of a Chicago tenement building band together to insure that the son of Nick Romano does not follow in his father's footsteps...to the electric chair.",In this sequel to Knock On Any Door the residents of a Chicago tenement building band together to insure that the son of Nick Romano does not follow in his fathers footstepsto the electric chair
4,My Future Love,10,In 1973. the 20-year-old Svante has a heart condition that the doctors cannot fix. When he has a breakdown on a subway platform. a strange train suddenly appears. He steps into the subway car filled with wonder. without knowing that the destination is the future. In the future he meets Elsa and together they must solve Svante's problems and figure out how to live together when they are from two different eras.,In 1973 the 20yearold Svante has a heart condition that the doctors cannot fix When he has a breakdown on a subway platform a strange train suddenly appears He steps into the subway car filled with wonder without knowing that the destination is the future In the future he meets Elsa and together they must solve Svantes problems and figure out how to live together when they are from two different eras
5,The Little Hut,10,Sir Philip Ashlow (Stewart Granger). his neglected wife. Lady Ashlow (Ava Gardner) and his best friend Henry Brittingham-Brett (David Niven) are shipwrecked on a desert island. This potential mÃ©nage Ã  trois where the two men compete for the lady's attention is interrupted by the unexpected arrival of a fourth inhabitant of the island.,Sir Philip Ashlow Stewart Granger his neglected wife Lady Ashlow Ava Gardner and his best friend Henry BrittinghamBrett David Niven are shipwrecked on a desert island This potential mÃ©nage Ã  trois where the two men compete for the ladys attention is interrupted by the unexpected arrival of a fourth inhabitant of the island
6,AcÃ©phale,10,In common with other Zanzibar films. Patrick Devalâs AcÃ©phale (1968) eschews conventional narrative in favour of an experimental arrangement of austerely executed but intensely hallucinatory episodes that build into a nightmarish fever of isolation and hopelessness.,In common with other Zanzibar films Patrick Devalâs AcÃ©phale 1968 eschews conventional narrative in favour of an experimental arrangement of austerely executed but intensely hallucinatory episodes that build into a nightmarish fever of isolation and hopelessness
7,Running Wild,10,Jennifer Barker plays a troubled woman who has an affair with her fiance's son.,Jennifer Barker plays a troubled woman who has an affair with her fiances son
8,Gendernauts: A Journey Through Shifting Identities,10,Monika Treut explores the worlds and thoughts of several female to male transgendered individuals. As with Treuts first film. Jungfrauenmaschine. Gendernauts. enters a minority sector of San Fransisco culture. The characters in this film have a lot to complain about. and they do. They are people whose physical appearance (female) does not match their inner sexual identity (male). The subject is pinpointed in the film independant of sexual orientation. Leave your conservative hats at the door. this is going to need your special attention.,Monika Treut explores the worlds and thoughts of several female to male transgendered individuals As with Treuts first film Jungfrauenmaschine Gendernauts enters a minority sector of San Fransisco culture The characters in this film have a lot to complain about and they do They are people whose physical appearance female does not match their inner sexual identity male The subject is pinpointed in the film independant of sexual orientation Leave your conservative hats at the door this is going to need your special attention
9,Book of Days,10,This film is a rich and haunting reinvention of medieval life that never loses its contemporary perspective. When the plague afflicts a village. this world seems to go up in an apocalypse of hatred and disease that presages our own century.,This film is a rich and haunting reinvention of medieval life that never loses its contemporary perspective When the plague afflicts a village this world seems to go up in an apocalypse of hatred and disease that presages our own century
